date,cosp,comp,tot1,tot2,p_cosp,p_comp
"2017-07-06","0","0","720","720","0","0"
"2017-07-07","1","1","651","651","0.0015360983102918587","0.0015360983102918587"
"2017-07-08","0","0","417","417","0","0"
"2017-07-09","0","1","384","384","0","0.0026041666666666665"
"2017-07-10","0","0","625","625","0","0"
"2017-07-11","0","2","678","678","0","0.0029498525073746312"
"2017-07-12","0","2","708","708","0","0.002824858757062147"
"2017-07-13","0","0","699","699","0","0"
"2017-07-14","2","1","632","632","0.0031645569620253164","0.0015822784810126582"
"2017-07-15","0","0","428","428","0","0"
"2017-07-16","0","1","406","406","0","0.0024630541871921183"
"2017-07-17","0","1","680","680","0","0.0014705882352941176"
"2017-07-18","0","1","706","706","0","0.00141643059490085"
"2017-07-19","0","1","626","626","0","0.001597444089456869"
"2017-07-20","0","0","702","702","0","0"
"2017-07-21","0","0","678","678","0","0"
"2017-07-22","0","0","415","415","0","0"
"2017-07-23","1","1","374","374","0.00267379679144385","0.00267379679144385"
"2017-07-24","0","1","624","624","0","0.0016025641025641025"
"2017-07-25","0","1","732","732","0","0.001366120218579235"
"2017-07-26","0","0","700","700","0","0"
"2017-07-27","0","0","662","662","0","0"
"2017-07-28","0","1","685","685","0","0.00145985401459854"
"2017-07-29","0","0","404","404","0","0"
"2017-07-30","0","0","380","380","0","0"
"2017-07-31","0","0","589","589","0","0"
"2017-08-01","0","1","656","656","0","0.001524390243902439"
"2017-08-02","0","1","637","637","0","0.0015698587127158557"
"2017-08-03","0","1","656","656","0","0.001524390243902439"
"2017-08-04","0","0","560","560","0","0"
"2017-08-05","0","0","404","404","0","0"
"2017-08-06","0","0","395","395","0","0"
"2017-08-07","0","1","560","560","0","0.0017857142857142857"
"2017-08-08","0","0","591","591","0","0"
"2017-08-09","0","1","584","584","0","0.0017123287671232876"
"2017-08-10","0","0","566","566","0","0"
"2017-08-11","0","0","554","554","0","0"
"2017-08-12","0","0","417","417","0","0"
"2017-08-13","0","0","367","367","0","0"
"2017-08-14","0","0","418","418","0","0"
"2017-08-15","0","0","270","270","0","0"
"2017-08-16","0","0","481","481","0","0"
"2017-08-17","0","0","568","568","0","0"
"2017-08-18","0","0","522","522","0","0"
"2017-08-19","0","2","408","408","0","0.004901960784313725"
"2017-08-20","1","1","429","429","0.002331002331002331","0.002331002331002331"
"2017-08-21","0","0","540","540","0","0"
"2017-08-22","0","1","615","615","0","0.0016260162601626016"
"2017-08-23","0","0","591","591","0","0"
"2017-08-24","0","0","665","665","0","0"
"2017-08-25","0","0","598","598","0","0"
"2017-08-26","0","1","440","440","0","0.0022727272727272726"
"2017-08-27","0","1","468","468","0","0.002136752136752137"
"2017-08-28","0","1","588","588","0","0.0017006802721088435"
"2017-08-29","0","2","625","625","0","0.0032"
"2017-08-30","0","0","670","670","0","0"
"2017-08-31","0","1","679","679","0","0.0014727540500736377"
"2017-09-01","0","0","636","636","0","0"
"2017-09-02","0","0","465","465","0","0"
"2017-09-03","0","1","402","402","0","0.0024875621890547263"
"2017-09-04","0","0","655","655","0","0"
"2017-09-05","0","0","640","640","0","0"
"2017-09-06","0","0","725","725","0","0"
"2017-09-07","0","0","671","671","0","0"
"2017-09-08","0","0","625","625","0","0"
"2017-09-09","0","1","389","389","0","0.002570694087403599"
"2017-09-10","0","0","445","445","0","0"
"2017-09-11","1","0","673","673","0.0014858841010401188","0"
"2017-09-12","1","1","772","772","0.0012953367875647669","0.0012953367875647669"
"2017-09-13","1","0","734","734","0.0013623978201634877","0"
"2017-09-14","0","0","677","677","0","0"
"2017-09-15","0","0","698","698","0","0"
"2017-09-16","0","0","404","404","0","0"
"2017-09-17","0","1","405","405","0","0.0024691358024691358"
"2017-09-18","0","0","647","647","0","0"
"2017-09-19","0","0","714","714","0","0"
"2017-09-20","0","2","702","702","0","0.002849002849002849"
"2017-09-21","1","1","674","674","0.001483679525222552","0.001483679525222552"
"2017-09-22","1","1","683","683","0.0014641288433382138","0.0014641288433382138"
"2017-09-23","0","1","432","432","0","0.0023148148148148147"
"2017-09-24","0","1","373","373","0","0.002680965147453083"
"2017-09-25","0","0","615","615","0","0"
"2017-09-26","0","0","773","773","0","0"
"2017-09-27","0","2","693","693","0","0.002886002886002886"
"2017-09-28","0","0","782","782","0","0"
"2017-09-29","0","0","647","647","0","0"
"2017-09-30","0","1","373","373","0","0.002680965147453083"
"2017-10-01","0","0","387","387","0","0"
"2017-10-02","0","0","619","619","0","0"
"2017-10-03","0","0","682","682","0","0"
"2017-10-04","0","0","625","625","0","0"
"2017-10-05","0","1","677","677","0","0.0014771048744460858"
"2017-10-06","0","1","712","712","0","0.0014044943820224719"
"2017-10-07","0","0","378","378","0","0"
"2017-10-08","1","1","384","384","0.0026041666666666665","0.0026041666666666665"
"2017-10-09","0","0","694","694","0","0"
"2017-10-10","0","0","747","747","0","0"
"2017-10-11","0","0","719","719","0","0"
"2017-10-12","0","0","698","698","0","0"
"2017-10-13","0","0","684","684","0","0"
"2017-10-14","0","0","400","400","0","0"
"2017-10-15","0","1","380","380","0","0.002631578947368421"
"2017-10-16","0","0","646","646","0","0"
"2017-10-17","0","1","729","729","0","0.0013717421124828531"
"2017-10-18","1","1","654","654","0.0015290519877675841","0.0015290519877675841"
"2017-10-19","0","1","721","721","0","0.0013869625520110957"
"2017-10-20","0","0","735","735","0","0"
"2017-10-21","0","0","382","382","0","0"
"2017-10-22","0","0","382","382","0","0"
"2017-10-23","0","0","625","625","0","0"
"2017-10-24","0","1","648","648","0","0.0015432098765432098"
"2017-10-25","1","0","736","736","0.001358695652173913","0"
"2017-10-26","0","1","698","698","0","0.0014326647564469914"
"2017-10-27","0","1","682","682","0","0.001466275659824047"
"2017-10-28","0","1","400","400","0","0.0025"
"2017-10-29","0","0","412","412","0","0"
"2017-10-30","0","0","625","625","0","0"
"2017-10-31","2","1","628","628","0.0031847133757961785","0.0015923566878980893"
"2017-11-01","0","2","508","508","0","0.003937007874015748"
"2017-11-02","0","1","680","680","0","0.0014705882352941176"
"2017-11-03","0","1","648","648","0","0.0015432098765432098"
"2017-11-04","0","1","463","463","0","0.0021598272138228943"
"2017-11-05","0","0","449","449","0","0"
"2017-11-06","0","0","639","639","0","0"
"2017-11-07","0","0","801","801","0","0"
"2017-11-08","0","0","796","796","0","0"
"2017-11-09","0","0","730","730","0","0"
"2017-11-10","0","0","645","645","0","0"
"2017-11-11","0","0","425","425","0","0"
"2017-11-12","0","0","438","438","0","0"
"2017-11-13","0","0","684","684","0","0"
"2017-11-14","0","0","827","827","0","0"
"2017-11-15","0","2","798","798","0","0.002506265664160401"
"2017-11-16","0","0","782","782","0","0"
"2017-11-17","0","0","760","760","0","0"
"2017-11-18","0","0","481","481","0","0"
"2017-11-19","0","2","484","484","0","0.004132231404958678"
"2017-11-20","0","1","733","733","0","0.001364256480218281"
"2017-11-21","0","1","812","812","0","0.0012315270935960591"
"2017-11-22","1","0","799","799","0.0012515644555694619","0"
"2017-11-23","1","0","757","757","0.001321003963011889","0"
"2017-11-24","0","2","681","681","0","0.002936857562408223"
"2017-11-25","1","0","469","469","0.0021321961620469083","0"
"2017-11-26","1","0","494","494","0.0020242914979757085","0"
"2017-11-27","1","0","730","730","0.0013698630136986301","0"
"2017-11-28","0","0","765","765","0","0"
"2017-11-29","0","1","772","772","0","0.0012953367875647669"
"2017-11-30","0","1","825","825","0","0.0012121212121212121"
"2017-12-01","0","1","752","752","0","0.0013297872340425532"
"2017-12-02","0","1","485","485","0","0.002061855670103093"
"2017-12-03","0","0","441","441","0","0"
"2017-12-04","0","0","730","730","0","0"
"2017-12-05","0","3","879","879","0","0.0034129692832764505"
"2017-12-06","0","0","888","888","0","0"
"2017-12-07","0","2","971","971","0","0.0020597322348094747"
"2017-12-08","0","3","656","656","0","0.004573170731707317"
"2017-12-09","0","0","626","626","0","0"
"2017-12-10","0","2","617","617","0","0.0032414910858995136"
"2017-12-11","0","0","961","961","0","0"
"2017-12-12","0","5","1033","1033","0","0.00484027105517909"
"2017-12-13","0","1","1024","1024","0","0.0009765625"
"2017-12-14","0","1","988","988","0","0.0010121457489878543"
"2017-12-15","0","0","890","890","0","0"
"2017-12-16","0","0","652","652","0","0"
"2017-12-17","0","1","596","596","0","0.0016778523489932886"
"2017-12-18","0","0","997","997","0","0"
"2017-12-19","0","0","964","964","0","0"
"2017-12-20","0","0","1090","1090","0","0"
"2017-12-21","0","0","955","955","0","0"
"2017-12-22","0","2","952","952","0","0.0021008403361344537"
"2017-12-23","0","0","597","597","0","0"
"2017-12-24","0","0","362","362","0","0"
"2017-12-25","0","0","246","246","0","0"
"2017-12-26","1","1","488","488","0.0020491803278688526","0.0020491803278688526"
"2017-12-27","0","0","840","840","0","0"
"2017-12-28","0","0","876","876","0","0"
"2017-12-29","0","0","870","870","0","0"
"2017-12-30","0","1","618","618","0","0.0016181229773462784"
"2017-12-31","0","0","356","356","0","0"
"2018-01-01","0","2","500","500","0","0.004"
"2018-01-02","0","1","780","780","0","0.001282051282051282"
"2018-01-03","1","2","866","866","0.0011547344110854503","0.0023094688221709007"
"2018-01-04","0","3","862","862","0","0.0034802784222737818"
"2018-01-05","0","1","910","910","0","0.001098901098901099"
"2018-01-06","0","0","594","594","0","0"
"2018-01-07","1","0","638","638","0.001567398119122257","0"
"2018-01-08","0","0","957","957","0","0"
"2018-01-09","0","0","1069","1069","0","0"
"2018-01-10","0","2","1088","1088","0","0.001838235294117647"
"2018-01-11","0","0","1064","1064","0","0"
"2018-01-12","0","0","1031","1031","0","0"
"2018-01-13","0","0","586","586","0","0"
"2018-01-14","0","0","621","621","0","0"
"2018-01-15","0","1","1011","1011","0","0.0009891196834817012"
"2018-01-16","1","4","1086","1086","0.0009208103130755065","0.003683241252302026"
"2018-01-17","1","1","1128","1128","0.0008865248226950354","0.0008865248226950354"
"2018-01-18","0","0","1170","1170","0","0"
"2018-01-19","0","0","919","919","0","0"
"2018-01-20","0","0","663","663","0","0"
"2018-01-21","0","0","677","677","0","0"
"2018-01-22","1","3","1053","1053","0.000949667616334283","0.002849002849002849"
"2018-01-23","0","1","1120","1120","0","0.0008928571428571428"
"2018-01-24","0","0","1016","1016","0","0"
"2018-01-25","0","0","1105","1105","0","0"
"2018-01-26","0","0","1041","1041","0","0"
"2018-01-27","0","1","712","712","0","0.0014044943820224719"
"2018-01-28","0","0","670","670","0","0"
"2018-01-29","0","0","1110","1110","0","0"
