S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
7,1,11,6,2,1,1,3,2,1987,5,4,8,2,1,1,1,1,1,0,0,2,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,-2,1987,33,Alta,Sx,7,1,11,6,6.25
8,8,9,9,2,3,2,1,2,1954,4,4,5,5,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-2,-1,0,1954,66,Media,Csx,8,8,9,9,8.5
3,11,9,9,1,1,1,3,2,1957,6,3,9,,,,,,0,0,0,2,,,,,0.5,,0,0,0,0,,,,,0,0,0,1,,,,,,,,,1957,63,Alta,,3,11,9,9,8
9,7,1,9,4,10,6,7,,,,,,,,,,,3,9,5,6,,,,,5.75,,0,1,0,1,,,,,1,2,1,2,,,,,,,,,,,,,9,7,1,9,6.5
5,5,9,5,6,6,7,7,2,1968,4,4,9,6,6,6,7,6,5,5,6,6,5,5,6,5,5.5,5.25,0,0,1,1,0,0,1,0,1,1,2,2,1,1,2,1,0,0,0,-1,1968,52,Alta,C,5,5,9,5,6
4,7,8,10,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,4,7,8,10,7.25
6,1,9,11,8,9,8,8,2,1970,4,1,2,13,5,11,11,9,7,8,7,7,4,10,10,8,7.25,8,1,1,1,1,0,1,1,1,2,2,2,2,1,2,2,2,-3,2,3,1,1970,50,Bassa,NC,6,1,9,11,6.75
1,1,1,1,1,1,4,2,1,1930,6,4,1,11,1,1,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3,-1,1930,90,Bassa,Dx,1,1,1,1,1
7,5,8,9,7,8,7,8,1,1944,6,1,4,9,7,5,4,8,6,7,6,7,6,4,3,7,6.5,5,1,1,1,1,1,0,0,1,2,2,2,2,2,1,1,2,0,-3,-3,0,1944,76,Media,Cdx,7,5,8,9,7.25
8,10,11,9,8,9,9,9,2,1946,3,1,3,9,3,5,4,6,7,8,8,8,2,4,3,5,7.75,3.5,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,-5,-4,-5,-3,1946,74,Media,Cdx,8,10,11,9,9.5
6,8,5,7,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,6,8,5,7,6.5
4,7,7,7,3,8,10,2,2,1960,5,4,5,4,2,6,12,1,2,7,9,1,1,5,,0,4.75,,0,1,1,0,0,0,,0,1,2,2,1,1,1,,0,-1,-2,,-1,1960,60,Media,Csx,4,7,7,7,6.25
5,4,2,5,11,11,11,11,2,1991,3,5,2,9,11,11,11,11,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,1991,29,Bassa,Cdx,5,4,2,5,4
3,3,1,1,1,7,7,7,1,1973,4,4,5,4,1,1,1,2,0,6,6,6,0,0,0,1,4.5,0.25,0,1,1,1,0,0,0,0,0,2,2,2,0,0,0,1,0,-6,-6,-5,1973,47,Media,Csx,3,3,1,1,2
8,12,7,8,4,12,9,1,2,1951,6,1,5,10,3,5,12,1,3,,8,0,2,4,,0,,,0,,1,0,0,0,,0,1,,2,0,1,1,,0,-1,,,0,1951,69,Media,Dx,8,,7,8,
4,7,6,9,5,1,10,1,2,1964,6,1,5,13,1,1,10,1,4,0,9,0,0,0,9,0,3.25,2.25,0,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,-4,0,0,0,1964,56,Media,NC,4,7,6,9,6.5
10,1,9,7,1,1,1,1,1,1985,2,1,9,9,1,6,9,1,0,0,0,0,0,5,8,0,0,3.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,5,8,0,1985,35,Alta,Cdx,10,1,9,7,6.75
11,9,11,3,2,7,12,5,2,1949,6,4,2,11,11,7,11,11,1,6,,4,10,6,10,10,,9,0,1,,0,1,1,1,1,1,2,,1,2,2,2,2,9,0,,6,1949,71,Bassa,Dx,11,9,11,3,8.5
11,11,8,4,3,1,7,1,1,1938,3,2,1,1,1,1,12,1,2,0,6,0,0,0,,0,2,,0,0,1,0,0,0,,0,1,0,2,0,0,0,,0,-2,0,,0,1938,82,Bassa,Sx,11,11,8,4,8.5
1,1,10,2,11,11,11,11,2,1948,6,1,4,9,6,1,8,1,10,10,10,10,5,0,7,0,10,3,1,1,1,1,0,0,1,0,2,2,2,2,1,0,2,0,-5,-10,-3,-10,1948,72,Media,Cdx,1,1,10,2,3.5
9,1,3,1,6,6,6,6,,,,,,,,,,,5,5,5,5,,,,,5,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,9,1,3,1,3.5
6,4,8,8,1,1,1,1,1,1935,4,4,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,85,Bassa,Csx,6,4,8,8,6.5
4,5,5,5,1,4,11,11,1,1949,3,2,2,8,1,12,12,12,0,3,10,10,0,,,,5.75,,0,0,1,1,0,,,,0,1,2,2,0,,,,0,,,,1949,71,Bassa,Cdx,4,5,5,5,4.75
5,6,6,5,2,2,4,2,2,1987,6,1,5,2,1,3,9,1,1,1,3,1,0,2,8,0,1.5,2.5,0,0,0,0,0,0,1,0,1,1,1,1,0,1,2,0,-1,1,5,-1,1987,33,Media,Sx,5,6,6,5,5.5
8,5,11,9,1,3,1,12,2,1947,3,2,2,6,1,1,1,4,0,2,0,,0,0,0,3,,0.75,0,0,0,,0,0,0,0,0,1,0,,0,0,0,1,0,-2,0,,1947,73,Bassa,C,8,5,11,9,8.25
