S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
7,4,11,8,1,1,1,1,1,1991,5,2,9,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1991,29,Alta,,7,4,11,8,7.5
1,1,9,1,1,1,7,1,2,1969,2,1,5,10,1,1,6,1,0,0,6,0,0,0,5,0,1.5,1.25,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-1,0,1969,51,Media,Dx,1,1,9,1,3
3,5,2,6,6,6,6,6,2,1948,5,2,5,,,,,,5,5,5,5,,,,,5,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,1948,72,Media,,3,5,2,6,4
3,7,5,5,7,7,7,7,2,1976,1,1,6,6,3,4,2,4,6,6,6,6,2,3,1,3,6,2.25,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,-4,-3,-5,-3,1976,44,Alta,C,3,7,5,5,5
12,12,12,5,12,4,8,2,,,,,,,,,,,,3,7,1,,,,,,,,0,1,0,,,,,,1,2,1,,,,,,,,,,,,,,,,5,
6,6,2,6,5,5,1,3,2,1958,6,1,6,12,11,11,3,8,4,4,0,2,10,10,2,7,2.5,7.25,0,0,0,0,1,1,0,1,1,1,0,1,2,2,1,2,6,6,2,5,1958,62,Alta,,6,6,2,6,5
9,9,6,11,1,1,6,1,,,,,,,,,,,0,0,5,0,,,,,1.25,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,9,9,6,11,8.75
11,1,1,1,1,1,1,1,1,1942,5,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,78,Media,Cdx,11,1,1,1,3.5
9,9,7,9,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,9,9,7,9,8.5
1,1,11,1,8,8,8,8,,,,,,,,,,,7,7,7,7,,,,,7,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,1,1,11,1,3.5
11,11,6,11,1,1,1,1,1,1946,4,2,8,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,74,Alta,Csx,11,11,6,11,9.75
6,6,8,8,2,8,12,1,1,1954,6,1,5,4,1,1,12,1,1,7,,0,0,0,,0,,,0,1,,0,0,0,,0,1,2,,0,0,0,,0,-1,-7,,0,1954,66,Media,Csx,6,6,8,8,7
1,1,3,1,6,8,9,9,2,1964,4,4,5,8,4,9,10,7,5,7,8,8,3,8,9,6,7,6.5,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,2,-2,1,1,-2,1964,56,Media,Cdx,1,1,3,1,1.5
6,7,7,5,5,6,5,9,2,1985,3,4,5,6,4,7,8,5,4,5,4,8,3,6,7,4,5.25,5,0,0,0,1,0,1,1,0,1,1,1,2,1,2,2,1,-1,1,3,-4,1985,35,Media,C,6,7,7,5,6.25
1,1,1,11,1,1,1,1,1,1957,4,4,5,8,1,1,8,1,0,0,0,0,0,0,7,0,0,1.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0,1957,63,Media,Cdx,1,1,1,11,3.5
8,12,11,12,2,1,3,1,,,,,,,,,,,1,0,2,0,,,,,0.75,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,8,,11,,
9,9,11,10,1,1,1,1,2,1959,4,2,5,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959,61,Media,C,9,9,11,10,9.75
9,10,7,10,5,6,7,5,1,1935,4,2,5,6,1,1,1,1,4,5,6,4,0,0,0,0,4.75,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,-4,-5,-6,-4,1935,85,Media,C,9,10,7,10,9
10,11,3,10,1,7,10,1,1,1961,5,1,5,8,1,1,12,1,0,6,9,0,0,0,,0,3.75,,0,1,1,0,0,0,,0,0,2,2,0,0,0,,0,0,-6,,0,1961,59,Media,Cdx,10,11,3,10,8.5
9,9,8,11,2,1,3,2,1,1942,2,3,9,,,,,,1,0,2,1,,,,,1,,0,0,0,0,,,,,1,0,1,1,,,,,,,,,1942,78,Alta,,9,9,8,11,9.25
1,1,4,1,12,1,12,12,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,1,1,4,1,1.75
2,4,3,4,6,6,6,1,1,1972,3,4,9,9,6,4,6,1,5,5,5,0,5,3,5,0,3.75,3.25,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,-2,0,0,1972,48,Alta,Cdx,2,4,3,4,3.25
4,8,12,4,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,4,8,,4,
4,5,8,7,5,1,3,1,,,,,,,,,,,4,0,2,0,,,,,1.5,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,4,5,8,7,6
10,11,7,11,1,1,1,1,1,1945,4,3,9,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,75,Alta,Csx,10,11,7,11,9.75
3,6,6,1,6,12,12,12,1,1976,3,1,7,8,6,9,9,6,5,,,,5,8,8,5,,6.5,0,,,,0,1,1,0,1,,,,1,2,2,1,0,,,,1976,44,Alta,Cdx,3,6,6,1,4
6,7,8,7,7,8,10,9,1,1935,6,1,5,4,7,7,9,6,6,7,9,8,6,6,8,5,7.5,6.25,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,1,0,-1,-1,-3,1935,85,Media,Csx,6,7,8,7,7
10,9,9,11,1,1,5,1,,,,,,,,,,,0,0,4,0,,,,,1,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,10,9,9,11,9.75
